date,username,to,replies,retweets,favorites,Sentiment,text,geo,mentions,hashtags,id,permalink
2020-02-22 21:27,NetworksManager,,4,32,35,Neutral,University student at Ferdos dormitory in Iran has been hospitalized and tested positive for #coronavirus. #Covid19 #SARSCoV19pic.twitter.com/owsXlFc2sz – at The White House,,,#coronavirus #Covid19 #SARSCoV19pic,1.23E+18,https://twitter.com/NetworksManager/status/1231328353942167555
2020-02-23 15:11,NetworksManager,,16,153,138,Negative,"Beheshti University students are protesting in #Tehran demanding their classes be suspended as the #coronavirus pandemic hits #Iran with no cure, no vaccine and no way to stop the spread of the deadly #Covid19. #SARSCoV19pic.twitter.com/Mf6sKrozcZ – at National Institutes of Health (NIH)",,,#Tehran #coronavirus #Iran #Covid19 #SARSCoV19pic,1.23E+18,https://twitter.com/NetworksManager/status/1231329716478582785
2020-02-23 15:13,NetworksManager,,2,19,14,Neutral,#Italy exchange student and Croatian woman with serious respiratory problems tested for #Covid19 in #Rijeka #Fiume - #Croatia. Couple with same issues being tested in #Dubrovnik. Samples to #Zagreb for testing results expected today. #coronavirus #SARSCoV2 https://t.me/WashingtonElite/29769 … – at National Institutes of Health (NIH),,,#Italy #Covid19 #Rijeka #Fiume #Croatia #Dubrovnik #Zagreb #coronavirus #SARSCoV2,1.23E+18,https://twitter.com/NetworksManager/status/1231597338105466882
2020-02-25 09:54,NetworksManager,,3,10,8,Neutral,"50 Croatian students back to #Croatia on buses from their trip in #Italy after visiting #Padova #Verona #Venice. They will not be put in quarantine on arrival as they did not visit infected areas, says the schools principal #Covid19 #coronavirus #SARSCoV2https://t.me/WashingtonElite/29769 … – at National Institutes of Health (NIH)",,,#Croatia #Italy #Padova #Verona #Venice #Covid19 #coronavirus #SARSCoV2https,1.23E+18,https://twitter.com/NetworksManager/status/1231598033944621057
2020-02-26 12:27,NetworksManager,,2,39,21,Neutral,"“Official” U.S. #coronavirus cases jump to 53 counting evacuees from Diamond Princess. Over 300,000 Chinese students returned from China landing in airports across the country who remain untested. Undoubtedly some are spreading #Covid19 the CDC has tested less than 1,000 people! pic.twitter.com/Z0zt3DyQaP – at National Institutes of Health (NIH)",,,#coronavirus #Covid19,1.23E+18,https://twitter.com/NetworksManager/status/1232242529812217857
2020-02-27 03:19,NetworksManager,,11,59,49,Neutral,"CDC only tested 426 people and say no community spread #Covid19 #coronavirus. 300k Chinese students many flew home for Chinese New Year not been tested, nor have 10s of 1000s on self quarantine. LOOK! Tests Infected 8800 - 322 Italy 531 - 14 France 1300 - 977 Korea 426 - 17 USA pic.twitter.com/YrBgWxSFY7 – at National Institutes of Health (NIH)",,,#Covid19 #coronavirus,1.23E+18,https://twitter.com/NetworksManager/status/1232643452652916738
2020-02-27 03:41,MonsieurBracken,,0,0,0,Neutral,Students & Parents traveling w/me to France in June via EF: Posted in ClassTag & on Google Classroom is information regarding an update from EF Tours and the status of international travel concerning COVID-19 (Coronavirus Disease 19). Contact me if you have any questions. TY. pic.twitter.com/PXpcEjlRPY,,,,1.23E+18,https://twitter.com/MonsieurBracken/status/1232867829990510593
2020-02-27 13:35,NetworksManager,Angiequa,3,21,20,Neutral,"Of course it’s true the 300,000 Chinese students are back at college and we only tested 426 people #WuhanVirus #Coronavirus #Covid19 https://twitter.com/Angiequa/status/1232872509554462721 … – at National Institutes of Health (NIH)",,,#WuhanVirus #Coronavirus #Covid19,1.23E+18,https://twitter.com/NetworksManager/status/1232873285760831489
2020-02-28 13:02,timstock,,1,1,1,Neutral,I just left Northern Italy this week and spoke with a group of students in Modena who were asking how we can confront COVID19 - the best antidote to unknowns is the pursuit of evidence and the effective sharing and application of that information. https://www.washingtonpost.com/world/europe/italys-economy-was-scary-enough-then-came-coronavirus/2020/02/26/0b3c9c7a-5803-11ea-8efd-0f904bdd8057_story.html …,,,,1.23E+18,https://twitter.com/timstock/status/1233022927601360896
2020-02-29 16:27,WilliamYang120,,2,6,10,Neutral,Belarus recorded its first #COVID19 case and the patient is a student from Iran. pic.twitter.com/MRk3BESX7Q,,,#COVID19,1.23E+18,https://twitter.com/WilliamYang120/status/1233376874488832004
2020-02-29 18:23,MattHoltProf,virginia_tech,0,0,9,Positive,"To all of our students, faculty, staff and stakeholders/families that may have concerns, be assured that @virginia_tech is carefully monitoring all operations via-a-vis #COVID19. I am highly confident that correct and timely actions will be taken as needed. Stay calm, carry on. https://twitter.com/virginia_tech/status/1233612095926734854 …",,#NAME?,#COVID19,1.23E+18,https://twitter.com/MattHoltProf/status/1233790826230272000
2020-03-01 17:05,siCynthiaPhotos,skarlamangla,2,0,0,Neutral,"Heard about two UCDavis students are currently being monitored for a similar COVID-19 symptoms, but yet still need to be determined by Monday. UCDavis is where @HouseAngklungDC going to held a concert on March 7th and the group is closely monitoring the situation.https://twitter.com/skarlamangla/status/1233538725885304832 …",,#NAME?,,1.23E+18,https://twitter.com/siCynthiaPhotos/status/1233820146206224385
2020-03-01 17:12,KevinClamato,,0,0,0,Neutral,"The reason the U.S. stands at 71 cases of #COVID19 is because there aren’t enough testing kits to go around. The #CDC isn’t even on site at a nursing home, visited by NURSING STUDENTS (COLLEGE!) in #Kirkland, #WA, where 52 people, staff & residents, show signs of #Coronavirus.",,,#COVID19 #CDC #Kirkland #WA #Coronavirus,1.23E+18,https://twitter.com/KevinClamato/status/1234162927537737730
